questionNumber,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,11,"What is the code of the word 'Revive' in the given code language?",P5,S5,S6,R6,c,"In the code given for each word,\nEach letter of the code can be obtained changing the first letter of its corresponding word to the next letter according to alphabetical series.\nFor example, first letter of the word 'Become' is 'B' and the next letter of 'B' in alphabetical series is 'C'. Hence, the letter is 'C'.\nSimilarly, first letter of the word 'Insane' is 'I' and the next letter of 'I' in alphabetical series is 'J'. Hence, the letter is 'J'.\nNow, each number of the code denotes the number of letters of its corresponding word.\nFor example, the number of letters in the word 'Become' is '6'. Hence, the number is '6'.\nSimilarly, the number of letters in the word 'Insane' is '6'. Hence, the number is '6'.\nTherefore, the code of the 'Become' is 'C6' and 'Insane' is 'J6'.","Directions: Study the following information carefully and answer the questions given beside:\nIn a certain code language,\n'Become Your Role Model' is written as 'S4 C6 N5 Z4'\n'Human Life World Change' is written as 'D6 I5 X5 M4'\n'Insane Make Others Crazy' is written as 'D5 J6 N4 P6'",,
,11,"Which of the following words will have their code 'F6' in the given code language?", Eleven,Enough,Empire,All of these,d,"As per the explanation an previous solution,\nwe can say that the code of 'Eleven', 'Enough' and 'Empire' is 'F6'.\nHence, the correct answer is option D ",,,
,11,"What is the code of the word 'Super Over' in the given code language?", T5P4,T4P5,T4P4,T5P5,a,"As per the explanation an previous solution,\nWe can say that 'T5 and P4' is the code of the words 'Super' 'Over' respectively.\nHence, the correct answer is option A. ",,,
,11,"If the code for the words 'Never Look ____' is coded as 'M4 C5 O5' in the coded language then what will be the missing word?",Back,Below,Bad,Before,b,"As per the explanation an previous solution,\nWe can say that if the code for the words 'Never Look ____' is coded as 'M4 C5 O5' in the coded language then the missing word will be Below.\nHence, the correct answer is option B.",,,
,11,"What is the code of the word 'How is the josh' in the given code language?", J2 I2 K4 T4,I3 J3 K4 U3,J2 I3 K4 U3,J2 T5 T5 I2,c,"As per the explanation an previous solution,\nWe can say that 'J2 I3 K4 U3' is the code of the word 'How is the josh'.\nHence, the correct answer is option C.",,,
,11,"The author is least likely to agree with the statement tha","Our immediate concern is what we do with our smaller blocks of time the next week, the next day, the next hour etc.","We all share the saying that life is too short to be little.","Our greatest frustration is that life has become so hectic.","An investigation of our use of time is more significant and dramatic than the space exploration. ",c," The statement is not clearly stated in the passage.","One of the most dramatic scientific adventures of this century is the exploration of space. We are not content to understand that it is infinite. We want landmarks, so to speak platforms for our satellites, or mathematical slots into which we can aim our space vehicles. We want to comprehend space; to define it; in a sense to use it. The other great cosmic reality is time. We may speculate about either end of our earthly existence. We may trust in immortality in the face of incomprehensible death; but, as in our efforts to define space, we must in our definition of time start where we are. All we can know is that man's average ration of time is three scores and ten years. What we do with our known allotment is what concerns us. Of most immediate concern is what we do with the smaller blocks of time within our grasp: the next week, the next day, the next hour, this very hour.\nWe all share a common belief that life is too short to be little. Yet the greatest frustration is that so much of life is just that. Perhaps more significant and dramatic than space exploration is an investigation of our use of time. 'What folly', said John Howe, 'to dread the thought of throwing away life at one, and yet have no regard to throwing it away by parcels and piecemeal.'\nAs with space, we are not content to comprehend time only as infinite. For many people the pressing questions is 'How am I going to manage my time?' Very busy people with many external demands do not have time on their hands. The next hour is very well programmed. This programming or structuring is what people try to achieve, and when they are unable to do it themselves, they look to others to structure time for them. 'Tell me what to do.' 'What shall I do next?' What we need is leadership.\nStructure hunger is an outgrowth of recognition bunger, which grew from the initial stroking hunger. The small child has not the necessary comprehension of time to structure it but simply sets about things which feel good, moment to moment. As he gets a little older he learns to postpone gratifications for greater rewards: 'I can go outside and make pies with Susie now, but if I wait twenty more minutes and keep my nice dress on, I can go to the shopping centre with Daddy.' This is basically a problem in structuring time. Which alternative will be more fun? Which will bring a greater reward? As we grow older we have more and more choices. However, the NOT OK position keeps us from exercising these choices as freely as we might think we do.\nIn our observation of transactions between people, we have been able to establish six types of experiences, which are inclusive of all transactions. They are withdrawal, rituals, activities pastimes, games and intimacy.\nWithdrawal although is not a transaction with another person, can take place, nonetheless, in a social setting. A man having lunch with a group of boring associates more concerned about their own stroking than his many withdraw into the fantasy of the night before when the stroking was good. His body is still at the lunch table, but he isn't. Schoolrooms on a nice spring day are filled with bodies whose occupants are down at the swimming on a nice spring day are filled with bodies whose occupants are down at the swimming the tree. Whenever people withdraw in such fashion it is always certain that the withdrawal keep them apart from those they are with bodily. This is fairly harmless unless it happens all the time, or unless your wife is talking to you.\nA ritual is a socially programmed use of time where everybody agrees to do the same thing. It is safe, there I no commitment to or involvement with another person, the outcome is predictable, and it can be pleasant in so far as you are in step or doing the right thing. There are worship rituals, greeting rituals, cocktail party rituals, bedroom rituals. The ritual is designed to get a group of people through the hour without having to get close to anyone. They may but they don't have to. It is more comfortable to go to a High Church Mass than to attend a revival service where one may be asked, 'Are you saved, brother?' Sexual relations are less awkward in the dark for people for whom physical intimacy has no involvement at the level of personality. There is less chance for involvement in throwing a cocktail party than in having a dinner for six. There is little commitment, therefore little fulfillment. Rituals, like withdrawal can keep us apart.\nAn activity, according to Bernce, is a common convenient, comfortable and utilitarian method of structuring time by a project designed to deal with the material of external reality. Common activities are keeping business appointments, doing the dishes, building a house, writing a book, shoveling snow, and studying for exams. These activities, in that they are productive or creative, may be highly satisfying. They may also lead to satisfactions in the future in the activity and there is no need for intimate involvement with another person. There may be, but there does not have to be. Some people use their work to avoid intimacy, working at night at the office instead of coming home, devoting their lives to making a million instead of making friends. Activities, like withdrawal and rituals, can keep us apart.",,
,11,"'As with space, we are not content to comprehend time only as infinite.'Which of the following is true with respect to this statement","For many people the important problem is that of time management.","Many busy people with many external demands do not have time on their hands.","The programming or structuring of time is difficult for many people, so they look to others, for leadership.","All of the above",d," All statements are discussed in the passage",,,
,11,"All of the following are reasons for : 'One of the most dramatic scientific adventures of this century is the exploration of space' except","we are not pleased to understand that it is infinite.","we want landmarks, say platforms for our satellites or mathematical slots into which we can aim our space vehicles.","we want to comprehend space.","we want to define the comprehension of space in a sense to use it. ",d,"All the points are clearly discussed in the first paragraph except D. ",,,
,11,"'Withdrawal though not a transaction with another person can take place in a social setting': Which of these is true with respect to this statement?","A man having lunch with a group of boring companions more concerned about their own stroking than his may withdraw into his own fantasy.","A person withdrawing from his colleagues may be successful in hiding it.","Whenever people withdraw into their fantasies they are mentally apart, it is harmless if does not happen all the time.","All of the above.",d," All the ideas are discussed in the passage.",,,
,11,"The author is most likely a",professional psychologist.,professional economist.,sociologist.,newspaper editor.,c," The passage discusses social activities. ",,,
,11,"If '+' means '-''-'means 'x''/'means '+' and 'x' means '/', then 10 x 5 / 3 - 2 + 3 = ? ",5,21,53/3,18,a,"10 x 5 , 3 - 2 + 3 = ?\nor, ? = 10 , 5 + 3 * 2 - 3\nor, ? = 2 + 6 - 3 = 5",,,
,11,"	If '+' means '÷' , '–' means 'x' '÷' means '+' and 'x' means '–', then 63 x 24 + 8 ÷ 4 + 2 – 3 = ? ",54,66,186,48,b,"63 x 24 + 8 ¸ 4 + 2 – 3 = ?\nor, ? = 63 – 24 ¸ 8 + 4 ¸ 2 x 3\nor, ? = 63 – 3 + 2 x 3\nor, ? = 66 ",,,
,11,"Which one of the following is correct? 6 * 4 * 9 * 15","x, = , – ","x, –, =","=, x, – ","=, x, – ",b,"6 x 4 – 9 = 15",,,
,11,"Find out the correct answer for the unsolved equation on the basis of the given equations. If 6 * 5 = 91, 8 * 7 = 169, 10 * 7 = 211, then11 * 10 = ?",331,993,678,845,a,"6 x 5 = 30, 30 x 3 + 1 = 91, 8 x 7 = 56, 56 x 3 + 1 = 169, 10 x 7 = 70, 70 x 3 + 1 = 211\nSimilarly 11 x 10 = 110, 110 x 3 + 1 = 331",,,
,11,"If '-' stands for division, '+' for multiplication '÷'for subtraction and 'x' for addition. Which one of the following equation is correct? ","6 ÷ 20 x 12 + 7 – 1 = 70","6 + 20 – 20 ÷ 7 x 1 = 62","6 – 20 ÷ 12 x 7 + 1 = 57","6 + 20 – 20 ÷ 7 – 1 = 38",a," 6 ÷ 20 x 12 + 7 – 1 = 70\nL.H.S. = 6 – 20 + 12 x 7 ÷ 1\n= 6 – 20 + 84\n= 90 – 20 = 70 R. H.S.",,,
,11,"Find the number of triangles in the given figure",5,6,8,10,d,"The simplest triangles are AJF, FBG, GCH, HDI, and IEJ i.e. 5 in number.\nThe triangles composed of three components each EBH, AIC, EFC, ADG, and BJD i.e. 5 in number.\nThus, there are 5 + 5 = 10 triangles in the figure.\nHence, option D is correct.",,"questionCsat563.PNG","explanationCsat563.PNG"
,11,"Find the number of triangles in the given figure.",15,16,17,18,c,"the figure may be labelled as shown.\nThe simplest triangles are ABF, BFG, BCG, CGH, GHD, GED, EFG and AFE i.e. 8 in number.\nThe triangles composed of two components each are ABG, BGE, AGE, ABE and GCD i.e. 5 in number.\nThe triangles composed of three components each are BCD, CDE, BED, and BCE i.e. 4 in number.\nThus, there are 8 + 5 + 4 = 17 triangles in the figure.\nHence, option C is correct.",,"questionCsat564.PNG","explanationCsat564.PNG"
,11,"Find the number of triangles in the given figure",24,22,28,26,c,"The simplest triangles are AGH, GFO, LFO, DJK, EKP, PEL and IMN i.e. 7 in number.\nThe triangles having two components each are GFL, KEL, AMO, NDP, BHN, CMJ, NEJ and HFM i.e. 8 in number.\nThe triangles having three components each are IOE, IFP, BIF and CEI i.e. 4 in number.\nThe triangles having four components each are ANE and DMF i.e. 2 in number.\nThe triangles having five components each are FCK, BGE and ADL i.e. 3 in number.\nThe triangles having Six components each are BPF, COE, DHF and AJE i.e. 4 in number.\nThus, there are 7 + 8 + 4 + 2 + 3 + 4 = 28 triangles in the figure.\nABC is the only triangle having twelve components.\nThus, there are 8 + 10 + 5 + 2 + 1 + 1 =27 triangles in the figure.\nHence, option A is correct. ",,"questionCsat565.PNG","explanationCsat565.PNG"
,11,"Find the number of triangles in the given figure",27,25,23,21,a,"The simplest triangles are GLK, DLJ, DJM, HMN, QRE, IRA, IPA and FPO i.e. 8 in number.\nThe triangle having two components each are BDO, CDQ, DLM, PRA, KFI, NEI, HJI, GJI, DKI and DNI i.e. 10 in number.\nThe triangles having four components each are DIE, DFI, DOA, DQA and GHI i.e. 5 in number.\nThe triangles having six components each are DCA and DBA i.e. 2 in number.\nDEF is the only triangle having eight components.",,"questionCsat566.PNG","explanationCsat566.PNG"
,11,"What is the difference between the number of academic books published by publishing house A and D?",450,640,540,504,c,"academic books published by A = 28200/10 *7=19740, academic books published by D = 31200/13 * 8\n= 19200\nRequired difference = 19740-19200 = 540",,"questionCsat567.PNG","explanationCsat567.PNG"
,11,"How many books were given to each distributor by publisher E if each publisher gets equal number of books",1806,1068,1608,1308,b,"Number of books distributed by publisher E = 33800*79/100 = 26702\nNumber of books were given to each distributor by publisher Q = 26702/25 = 1068 (appox.)" ,,,
,11,"What is the average number of non-academic books published by publishers F and G",18750,18850,19950,18950,c,"Non-academic books published by F = 35700/17 *6 = 12600, none academic books published by G =\n37800/18 *13 = 27300\nRequired average = (27300 + 12600)/2 = 19950 " ,,,
,11, "If the total number of books published by publishers D, E and F is increased by 30% and the total number of books published by remaining publishers be decreased by 20%, what will be the new average of books published by all the publishers?",33418,33318,32518,33618,b,"total number of books published by P, Q, R = 31200+33800+35700= 100700, increased number of books = 100700/100 * 130 = 130910\nTotal number of books published by A, B, C, D, E, F, G, = 28200+32200+29700+37800 = 127900\nDecreased number of books = 127900/100 * 80 = 102320\nRequired average = (130910+102320)/7 = 33318",,,
,11,"What is the total number of books distributed by publishers C and E?",26702,27324,55026,54026,d,"total numbers of books distributed by publishers C and E = 29700*92% + 33800*79% = 54026",,,
,11,"The chief reason for the formulation of cyber law is"," to prevent misuse of the internet.","to know the number of users.","to regulate the interaction between internet and law","to streamline the Internet activities." ,a," Refer to the first paragraph","Communication with anyone around the world is within the grasp of every person now. The rapid development of Internet and Computer technology world over has led to the growth of new forms of transnational crime related especially to the Internet. These crimes may affect any country across the globe as no geographic boundaries can stop them. Internet and computer based commerce and communications cut across territorial boundaries. Access to the internet allows linking up easily and cheaply with anyone.\nInternet is the fastest-growing communications medium in human history. It is not possible to quantify the size, use, and growth of the entire system. No one knows the exact number of people who use it, or the number of nodes on it. It is difficult even to know the amount of information that is transmitted through it. New forms of criminal activities in cyber space are coming to the forefront. Territorially based law-making and law-enforcing authorities find this new environment deeply threatening.\nThe World Wide Web was initially not thought of as needing any regulations. But over a period of time, it was found that the internet needed some rules and regulations to govern it, without which it can be used as a tool for the destruction of mankind. Unauthorized access to systems in order to steal users' passwords on the internet became a grave international concern. Law from the real world had to enter the realm of communications. So, a new discipline was developed in the U.S. about four years back called cyber law. Cyber law is a term, which denotes all aspects, issues and the legal consequences on the internet. Cyber crime refers to all the activities done with criminal intent in Cyberspace. Cyber Terrorism is a crime committed by individuals and groups to threaten governments and to terrorize citizens of a country by misusing Cyberspace. This is done by an individual or group when he succeeds in cracking into a government or military maintained web site. Hence, the first interactions between the internet and law rose out of necessity",,
,11,Cyber crime can affect any country in the world because, internet cuts across territorial boundaries.,criminals can travel to any country.,criminals are found in all countries.,most countries have computers and internet,a,"Refer to the third sentence in the first paragraph.",,,
,11,"Rules and regulations are needed to govern the internet because\n 1)it is a widely used medium.\n 2)it can be used for the destruction of mankind.\n 3)it is a new medium.\n 4)laws from the real world are not applicable to it.",dissatisfied,disgruntled,satisfied,malcontent,b,"But over a period of time, it was found that the internet needed some rules and regulations to govern it, without which it can be used as a tool for the destruction of mankind.",,,
,11,"The passage deals with",the intricacies of the internet,the multiple uses of the internet.,new developments in communication.,the need for cyber laws.,d,"It mainly discusses cyber laws.",,,
,11,"A person can purchase three articles in Rs. 49. What is the price of costliest article?\nStatement I : The cost price of two articles each is Rs. 1 less than the cost price of costliest article.\nStatement II : The cost price of two articles is same.\nStatement III: The cost price of costliest article is 6.25% more than the cost price of cheapest article.","Either statement I alone or statements II and III together are sufficient.","Only statement III is sufficient.","Only statement I and II together are sufficient.","Only statement I and III together are sufficient.",a,"From the Statement I\nLet the CP of each of two cheapest articles = x and the CP of costliest article = x + 1\nThen, x + x + x + 1 = 49,\nx = 16 therefore the CP of costliest article = 16 + 1 = 17\nFrom the Statement II, we can say that the cost price of two articles is same and from Statement III, we can say that the cost price of costliest article is 6.25% more than the cost price of cheapest article therefore by combining both the statement we can also get our answer.\nHence, option A is correct.",,,
,11,"Shatabdi Express leaves Patna at 8:00 am for Delhi. At what time will it reach Delhi?\nStatement I : For the first 100 km it travels at the speed of 250 km per hour and maintains the same speed during the entire journey.\nStatement II : It has 5 stoppages in between Delhi and Patna.\nStatement III : Before every stoppages, it covers a same distance of 240 km","Either statement III alone or statements I and II together are sufficient.","Only statement III is sufficient.","Only statement I and II together are sufficient.","None of these",d,"From the Statement I we can conclude the speed of the train and by combining Statement II and Statement III, we can conclude the distance between Delhi and Patna. But we cannot conclude how long it has stopped at each stoppage because the speed we concluded from the statement I is the speed of the train not the average speed of the entire journey.Hence, option D is correct",,,
,11,"What is the sum of the age of Ram and Mohan?\nStatement I : The age of Ram is 6 years more than the age of Mohan.\nStatement II : 40% of the age of Mohan is equal to 30% of the age of Ram.\nStatement III : The ratio between half of the age of Ram and one third of the age of Mohan is 2 : 1. ","Either statement III alone or statements I and II together are sufficient.","Only statement III is sufficient.","Only statement I and II is sufficient.","Only statement I, II, and III are sufficient.",c,"By combining Statement I and Statement II we can conclude the age of Ram and the age of Mohan . So we can find the sum as well.\nStatement II and Statement III indirectly mean the same.\nSo by combining Statement I and statement III we can get our answer as well.\nSo either Statement I and II together or Statement I and III together are sufficient.\nHence, option C is correct.",,,
,11,"In a kilometre race, by how many meters Chandu beats Chand?\nStatement I : In a kilometer race, Chandu beats Chandan by 100 meters.\nStatement II : The respective ratio of the speed of Chandan and Chand is 4: 3.\nStatement III : In a kilometer race, Chandan beats Chand by 150 meters.","Either statement III alone or statements I and II together are sufficient.","Only statement III is sufficient.","Only statement I and II is sufficient.","Only statement I, II, and III are sufficient.",c,"By combining statement I, and III we can conclude our answer as 250 meters\nIn the statement II, only ratio of speed is given therefore it is not possible to get our answer only with the help of statement II .\nBy combining Statement I and II also we can find the answer as the ratio between two people is given and in statement I the distance between the winner and loser is given so we can find the required distance as well.\nSo Statement I and III together or Statement I and II together are sufficient\nHence, option C is correct. ",,,
,11,"A metal block of density 'D' and mass 'M', in the form of a cuboid, is beaten into a thin square sheet of thickness 't', and rolled to form a cylinder of the same thickness. Find the inner radius of the cylinder?\nStatement I : Cuboid has dimensions 10cm x 5 cm x 12 cm\nStatement II : Thickness 't' = 1.5cm\nStatement III : Mass of block, M = 216kg","Either statement III alone or statements I and II together are sufficient.","Only statement III is sufficient.","Only statement I and II is sufficient.","Only statement I, II, and III are sufficient.",c,"If we have the dimensions, from Statement a,\nVolume of cuboid = 10 x 5 x 12 = 600cm3\nIf thickness is 't' and let side of square sheet be S, then,\n600 = (S2) x (t)\nIf t = 1.5cm is taken from Statement II,\n6001.5 = (S2) = 400\nS = 20cm\nHeight of cylinder = S = 20cm [As square sheet is rolled so the side of the cylinder will be equal to side of square]\nOuter circumference = S = 20 cm = 2pr\nOr, r = 10/pi = 3.185\nThickness taken, t = 1.5cm",,,
