question_number,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,13,"4, 9, 13, 22, 35, ——",57,70,63,75,a,"Sum of two consecutive numbers of the series gives the next number.","Directions: In each of the following questions a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces",,
,13,"11, 13, 17, 19, 23, 29, 31, 37, 41, ——",43,47,51,53,a,"The series consists of prime numbers.... The missing number is the next prime number, which is 43",,,
,13,"15, 31, 63, 127, 255, ——",513,511,517,523,b,"Each number is double the preceding one plus 1. So, the next number is (255 × 2) +1 = 511",,,
,13,"5, 11, 17, 25, 33, 43, ——",49,51,52,53,d,"The sequence is +6, +6, +8, +8, +10, --------- So the missing number = 43 + 10 = 53",,,
,13,"9, 12, 11, 14, 13, ——, 15",12,16,10,17,b,"The alternate numbers should have 2(9+2 =11+2 =13+2 =15)(12+2 =14+2 =16) as difference, and pair of number should have 3 as difference (9-12, 11-14,13-16)--------- So the missing number = 16",,,
,13,"If in a certain language REMOTE is coded as ROTEME, which word would be coded as PNIICC?",NPIICC,PICCIN,PINCIC,PICNIC,d,"The groups of second and third letters and fourth and fifth letters in the word interchange places in the code",,,
,13,"If FULFNHW is the code for CRICKET, EULGH will be coded as",PRIDE,BRIDE,BLADE,BLIND,b,"Each letter of the word is three steps ahead of the corresponding letter of the code.",,,
,13,"In a certain code language TSSNOFFQ is written as STRONGER then GQFDENN will be written as",DOMEERF,FEEDORM,FREEDOM,FREEDMO,c,"The first letter is moved one step backward and second is moved one step forward the third letter is moved one step backward, the fourth letter one step forward and so on.",,,
,13,"In a certain code 253 means books are old ; 546 means man is old and 378 means buy good books. What stands for ‘are’ in that code?",2,4,5,6,a, "In the first and the second statements, the common code digit is 5 and the common word is old, so 5 stands for old. In the first and third statements, the common code digit is 3 and the common word is books so 3 stands for books. Thus in the first statement, 2 stands for are",,,
,13,"In a certain code language, 134 means good and tasty, 478 means see good pictures ; and 729 means pictures are faint. Which of the following digits stands for see",4,7,9,8,d,"In the first and the second statements, the common code digit is 5 and the common word is old, so 5 stands for old. In the first and third statements, the common code digit is 3 and the common word is books so 3 stands for books. Thus in the first statement, 2 stands for are.",,,
,13,"Who is intelligent in Political Science, Geography and Biology?",E,D,C,B,b,"Clearly from the table D is intelligent in Political Science, Geography and Biology.","Directions : In a group of 5 persons A, B, C, D and E. B and C are intelligent in Mathematics and Geography. A and C are intelligent in Mathematics and History. B and D are intelligent in Political Science and Geography. D and E are intelligent in Political Science and Biology. E is intelligent in Biology, History and Political Science.",,"explanationCsat663.PNG"
,13,"Who is intelligent in Mathematics, Political Science and Geography?",A,B,C,D,b,"B is intelligent in Mathematics, Political Science and Geography.",,,
,13,"Who is intelligent in Mathematics and History but not in Geography?",C,E,A,B,c,"A is intelligent in Mathematics and History but not in Geography.",,,
,13,"Who is intelligent in Mathematics, Geography and History?",E,A,D,C,d,"C is intelligent in Mathematics, History and Geography.",,,
,13,"Who is intelligent in Political Science, History and Biology?",A,B,C,E,d,"E is intelligent in Political Science, History and Biology.",,,
,13,"Soap is related to Wash in the same way as Broom is related to ————",Clean,Dust,Sweep,Floor,c,"Second denotes the function of the first.","Directions: In each of the following questions the first two words have a definite relationship. Choose one word out of the given four alternatives which will fill in the blank space and show the same relationship with the third word as between the first two.",,
,13,"Happiness in related to Sorrow in the same way as Comfort is related to ————",Hardship,Rest,Poverty,Difficulty,a,"The given words are opposite to each other.",,,
,13,"Bicycle is to Pedal as Boat is to ————",Steering,Water,Oar,Sail,c,"The second is the tool which is used to move the first.",,,
,13,"According to the passage, the Dhebar commission","played a greater role in suggesting changes in the tribal education system which faced severe backwardness.","did not identify only common issues in its study which analysed the education backwardness of tribes.","ruled out the recommendations of Kothari commission.","Spearheaded the higher education projects in tribal areas.",b,"They were vague generalisations like inappropriate and unattractive teaching methods adopted by the teachers……………………. In view of this, the Kothari Commission endorsed the recommendations of the Dhebar Commission ","The Dhebar Commission of 1960 identified certain specified reasons for the educational backwardness of tribal's. They were vague generalisations like inappropriate and unattractive teaching methods adopted by the teachers, etc. It also touched other problems like poor economic condition and subsistence economy. In such a situation, children are seen as economic assets to supplement the family income by working with the parents and with others .In a situation of dire necessitates of life, education becomes a matter of luxury for the tribals .All these factors have contributed to work out a broader policy for tribal education. In this background, the Dhebar Commission made recommendations to provide the mid-day meal, clothing, free book, reading and writing materials, etc. to all the tribal children in backward areas. The commission further recognizing the topographical factors recommended the opening of schools in localities where there were at least 30 school-going children, though there should be a school within one mile. The commission then suggested adjustment of timing, vacations, and holidays of schools to suit the tribal social and cultural life. It even proposed to create an atmosphere of tribal culture in the schools. Similarly, the Kothari Commission has also highlighted that the tribals deserve education with great emphasis and attention. In view of this, the Kothari Commission endorsed the recommendations of the Dhebar Commission with a note of urgency that intensive efforts must be made to provide for five years of early education to all tribal children. In order to achieve the literacy rate among tribals, the Commission also suggested the need to educate parents simultaneously. The growth of tribal education was very slow due to high dropout rate and the growing gap between tribals and non-tribals. Due to this higher education among the tribals also suffered severely. The PESA(The Panchayats Extension to Scheduled Areas) Act, 1996 in fact, has made it mandatory for the States having scheduled areas to make specific provisions for giving wide-ranging powers to the tribes on the matters relating to decision-making and development of their community. A centrally-sponsored government scheme of ashram schools exclusively for Schedule Tribe children from elementary to higher secondary levels was initiated in the 1970s. But the poor quality of education in ashram schools, however, has undermined confidence in education as a vehicle for social mobility.",,
,13,"According to the passage, the states have to",ensure the safety of tribes on all aspects.,offer enough supports for tribes’ education.,vest unconditional rights on tribes for their social improvement.,make tribes part of governance.,c,"States having scheduled areas to make specific provisions for giving wide-ranging powers",,,
,13,"It can be concluded from the passage","The tribal education projects must create more schools that would suit their cultural ideals.","Tribal educational projects need effective supervision at every level to achieve the mission.","Kothari commission urged the government to increase the funds to tribal education.","Social mobility of tribes can be achieved by constructing more ashram schools.",b,"however, has undermined confidence in education as a vehicle for social mobility.",,,
,13,"Which of the following can be understood from the passage?","Science has evidence which can easily convince other to believe what it proposes.","Religion preaches people to gain magical powers by following the unreal.","Following the most common religion in the world would give us a real experience.","Scientific experiments compel people to experiment with mystics.",a,"If other people can repeat it, it holds for real.","According to Bertrand Russell, there were many conflicts between science and religion throughout the history of humanity and science is always emerged victorious, because it was based on concrete evidence instead of relying on the illumination as did religion. When a man of science tells us the result of experience, it also tells us how the experiment was performed. If other people can repeat it, it holds for real. In terms of religion, we must rely on the vision of a mystic who believed himself invested with a divine mission to assert something without real proof. According to Bertrand Russell, it is useless to talk to the mystic who claims to have experienced enlightenment and who has strong beliefs, but why should we force others to believe as well?\nA man of superior intelligence and logic as implacable as Bertrand Russell did not fail to bring out the incongruities and absurdities of a sacred text like the Bible. He deplored the crimes committed in the name of the Bible considered the word of God. To doubt the Bible, according to the Church was, to doubt the word of God and thus committing a sacrilege punishable by death.\nOne of the biggest conflicts between science and religion was unquestionably the position of the earth in the universe. On the basis of serious study, scientists such as Copernicus and Galileo came to the conclusion that the earth revolved around the sun. For its part, the Church, based on a text of the Bible in the Old Testament, where it says that Joshua commanded the sun to stop, came to the conclusion that the earth was the center of the universe and the sun, moon and stars revolved around the earth.",,
,13,"Which of the following can be assumed from the second paragraph of the passage ?","One has to be super intelligent for not believing in God.","Religion does not encourage rational analysis.","Science can be used to analyse holy texts.","No one is sparred if one speaks ill of God.",b,"To doubt the Bible, according to the Church was, to doubt the word of God and thus committing a sacrilege punishable by death.",,,
,13,"Which of the following is illustrated in the last paragraph of the passage?","Astronomical theories and their different perspectives.","The dispute between science and religion in accepting each other’s notions of universe.","Religion and its valid position in approving a universal principle.","Science and its refusal to go with geocentric theory.",b,"According to Bertrand Russell, there were many conflicts between science and religion throughout the history of humanity …………… One of the biggest conflicts between science and religion was unquestionably the position of the earth ",,,
,13,"The word ‘ illumination’ most nearly means",Lighting,Fabricating,Disbelieving,Exaggerating,b,,,,
,13,"According to the passage, what kind of person is Bertrand Russell?",Conformist,Communist,Iconoclast,Critic,c,,,,
,13,"Which of the following is the tone of the author in the passage?",Spiteful,Disapproving,Analytical,Objective,d,,,,
,13,"According to the passage, Enlightenment is not possible from",Science,Mystic,Religion,Experiment,b,,,,
