question_id,test_id,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,paragraph,image,explanationImage
,8,"Which of the following inscriptions dealswith canal irrigation system during the period of ancient history?\n1. Hathigumpha Inscription\n2. Junagarh Inscription\n3. Aihole Inscription\nSelect the correct answer using the codes given below",1 and 2 only,2 only,2 and 3 only,"1, 2 and 3",A,"1. Hathigumpha Inscription, king kharvela speaks of along irrigation canal constructed by a Nanda king.\n2. Junagarh Inscription talks explicitly about Sudarshanalake.\n3. Achole Inscription about Pulkeshin II does not talk of any irrigation work",,,
,8,"Which of the following terms are relatedto stupa art and architecture?\n1. Vedika\n2. Torana\n3. Harmika\n4. Chhatra\n5. Uposatha\nSelect the correct answer using the codes given below:","1, 2, 3 and 4 only","2, 3, 4 and 5 only","1, 2 and 3 only",4 and 5 only,A,"Uposatha was a ceremony in which the Buddhist   monk used to confess their sins committed during the rainy season stay i.e. Vasa.",,,
,8,Which of the following Buddhist postures ispart of the moment of Buddha’s becomingthe enlightened one? ,Varadamudra,Abhaymudra, Bhumisparshmudra,Dharmachakrapravartan mudra.,C,"1. Varadamudra: posture of granting a wish\n2. Abhaymudra: posture of fearlessness with right hand raised above shoulder and left hand placed on thigh.\n3. Bhumisparshamudra: posture where the Buddha touches the ground/earth with his right hand, indicating the earth as witness of his enlightenment.\n4. Dharmachakrapravaran mudra: posture of giving first sermon by using both hands as if rotating something i.e. wheel of law.",,,
,8,"Match the following:\n      List 1                List 2\n1. Kalpa:           A. Pronunciation\n2. Shiksha :     B. Word formation\n3. Nirukta:       C. Metre composition\n4. Chhanda:      D. Domestic Rituals\nSelect the correct answer using the codes given below","1-A, 2-C, 3-B, 4-D","1-A, 2-C, 3-D, 4-B","1-A, 2-D, 3-B, 4-C","1-D, 2-A, 3-B, 4-C",D,"There are six Vedangas.\n1. Vyakarana (grammar)\n2. Jyotish (astronomy).\n3. Kalpa(Domestic Rituals)\n4. Shiksha (Pronunciation)\n5. Nirukta(Word formation)\n6. Chhanda(Metre composition)",,,
,8,"Consider the following statements regarding associated with Jainism:\n1. Cosmic rise and fall is the will of a supremebeing, is one of the cardinal principles ofJainism.\n2. Strict adherence to the Five Principles is necessary for all.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"1) According to Jainism the world moves according to a Universal Principle, no supreme entity governs it. But it is not part of Cardinal Principles.\n2) Those who are monks, have to follow the principles, strictly. However, these are a bit relaxed for lay followers and in their context, these as called Anuvrata.",,,
,8,"The Besnagar Pillar, near Vidisha is related to",vaishnavism,Shaivism,Buddhism,Jainism,A,Besnagar Pillar related to Vaishnavism.,,,
,8,"Which of the following terms, not related to Nagara style of Temple architecture:\n1. Amalaka\n2. Anda\n3. Ardhamandapa\n4. Antrala\nSelect the correct answer using the codes given below",1 and 2 only,2 only,"2 and 3 only","1, 3 and 4 only",B,,,,"explanationHST182.PNG"
,8,"Megasthenes’ account about Mauryas talks about.\n1. Social conditions\n2. City administration\n3. Military organisation\n4. Roads\nSelect the correct answer using the codes given below","1, 2and 3 only","2, 3 and 4 only","1, 2 and 4 only","1, 2, 3 and 4",D,"He talks about all of them, social division, slavery etc. municipal administration, six wings in military and roads etc.",,,
,8,"Which of the following subjects part of Tamil texts of Sangam Age?\n1. Urban trading centers.\n2. Social divisions\n3. Grammar\n4. Military exploits of kings\n5. Cult of ideal woman\nSelect the correct answer using the codes given below","1, 2, 4 and 5 only","5 only","3 and 5 only","1, 2, 3, 4 and 5",D,"1. The tamil literature deals with the social divisions, crafts, urban centres like Muziris, KaveriPatnam, Arikamedu etc. which traded with Romans.\n2. Tolkapiyyam deals with tamil grammar. The tamil poetry also contains the achievements of kings/warriors in the form of Puram poetry.\n3. The epic Silpadigaram deals with the Kannagi cult i.e. the cult of chaste/ideal woman in South Indian society.",,,
,8,"In his account about India, foreign traveller,Ibn-i-Batutah talks about\n1. Postal system\n2. Paan (Betel leaves) cultivation\n3. Unsafe roads\n4. sati event\nSelect the correct answer using the codes given below",1 and 2 only,"1, 2 and 4 only",2 and 4 only,"1, 2, 3 and 4",D,"Ibn-i-Batutah talks about all commercial systemslike Postal system, Paan (Betel leaves) cultivation, Unsafe roads, Sati event.",,,,
,8,"At which of the following places, temples ofJainatirthankaras is/are found?\n1. Mount Abu\n2. Khajuraho\n3. Puri\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,"1, 2 and 3",None of the above,A,"PuriJaganath Temple belongs to The Shree Jagannath Temple of Puri is an important Hindu temple dedicated to Lord Jagannath, a form of lord Maha Vishnu , located on the eastern coast of India, at Puri in the state of Odisha. \n The temple is an important pilgrimage destination The present temple was rebuilt from the 10th century onwards, on the site of an earlier temple, and begun by King AnantavarmanChodaganga Deva, first of the Eastern Ganga dynasty",,,
,8,"‘Kalilah-w-Dimna’ was an Arabic version of",Mahabharat,Mahabhashya,Panchtantra,Surya Siddhant,C,"• The Panchatantra is an ancient Indian collection of interrelated animal fables in Sanskrit verse and prose, arranged within a frame story.\n• The surviving work is dated to about 300 BCE, but the literature is thousands of years older. \n• The text's author is unknown, but has been attributed to Vishnu Sharma in some recensions and Vasubhaga in others, both of which may be pen names.\n• It is classical literature in a Hindu text, and based on older oral traditions with animal parables that are as old as we are able to imagine.",,,
,8,"In the context of Sultanate culture, the term‘Arabesque’ can be best described as",Script,Language,Stone sculpture,"musical ‘raga’",C,"The arabesque is a form of artistic decoration consisting of 'surface decorations based on rhythmic linear patterns of scrolling and interlacing foliage, tendrils' or plain lines, often combined with other elements.",,,
,8,"Consider the following statements regarding Medieval Period of Indian history.\n1. The period witnessed inter-mingling ofdifferent cultures.\n2. Due to overall emphasis on Persian as statelanguage, the regional Indian languagescould not see any progress.\n3. For most of the Mughal period, South Indiaremained outside their rule\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"1. Due to advent of Turkish, Afghan and Mughal rulers, there was witnessed gradual emergence of IndoIslamic culture based on blend of both, Indian and Persian.\n2. The regional languages could very well attain literary merit. Bangla, Marathi, Odia, Gujarati, Hindi, Malyalam, Telugu, Kannada etc. could see a vast literature written during medieval age.\n3. However, South India, remained outside direct Mughal control for most of the time and same was the case during sultanate period as well.",,,
,8,"The ‘Guru GranthSaheb’ the holy book ofSikhism contains sayings/verses of\n1. Sikh Gurus\n2. Bhakti Saints\n3. Sufi Saints\nSelect the correct answer using the codes given below",1 only,1 and 2 only,1 and 3 only,"1, 2 and 3",D,"Guru GranthSaheb’ the holy book of Sikhism contains Sikh Gurus, Bhakti Saints, Sufi Saints.",,,
,8,"Consider the following statements regarding features of MughalPaintings:\n1. It was more courtly and aristocratic inthemes.\n2. It was developed in the time of Akbar due toefforts of Portuguese priests.\n3. It was developed as a blend of Indian,Persian and European features.\n4. It was developed under the monitoring ofstate department.\nWhich of the statements given above is/are correct?",1 and 2 only,"1, 3 and 4 only","1, 2, 3 and 4",None of the above,B,"1. Mughal School of painting was started by Humayun with the help of Persian painters brought by him from Iran. \n2. It was given attention by Akbar by establishing an imperial department for it.\n3. Most of the Themes of the paintings are related to royal life, depiction of nature, birds, Animals. \n4. Public life is not usually shown.\n5. It was also influenced by the European features.",,,
,8,"Consider the following statements:\n1. A typical Mughal painting was produced bythe efforts of several painters.\n2. Emperor Jehangir could discriminate thework of each artist.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"1. Mughal painting reached a climax under Jahangir who had a very discriminating eye.\n2. It was a fashion in the Mughal school for the faces, bodies and feet of the people in a single picture to be painted by different artists.\n3. Jahangir claims that he could distinguish the work of each artist in a picture",,,
,8,"Consider the following pairs of devotional compositions and their languages\n1. Borgeet - Tamil\n2. Vachana - Marathi\n3. Abhanga - Kanada\n4. Tirumurai   - Assamese\nWhich of the pairs given above is/are correctly matched?",4 – 3 - 2 - 1,2 – 4 – 1 - 3,2 – 3 – 4 -1 ,4 – 1 – 3 – 2 ,A,"1. Borgeet - Assamese\n2. Vachana - Kanada\n3. Abhanga - Marathi\n4. Tirumurai   - Tamil",,,
,8,"In the context of medieval age culture, theterm Sutradhara, can be best described as",One who supervised construction of temples,One who narrated Puranic stories to villagemen,One who headed the priesthood in a temple,None of the above,A,"1. The construction of temples was supervised by the sutradharas. Manuals on construction – the shilpashastra – were used where large temples were constructed.\n2. To follow the established norms of temple building required the supervision of a sutradhara and a manual. Sutradharas were being named in inscriptions",,,
,8,"Consider the following statements regarding Akbar’s Tauhid-i-Ilahi\n1. had some elements of Sufi tradition.\n2. was an effort to found a new religion.\n3. was exclusive to followers of Islam.\n4. was based on belief in one God\nWhich of the statements given above is/are correct?",1 and 2 only,1 and 4 only,"2, 3 and 4 only","1, 2, 3 and 4",B,"Akbar’s Tauhid-i-Ilahi does not create new religion, accepts all religions.",,,
,8,"In the context of Mughal Culture, \n1. Pietra dura :  Metal art\n2. Nastaliq   :  Calligraphy\nSelect the correct answer using the codes given below",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Pictorial mosaic work using semi-precious stones, typically for table tops and other furniture.",,,
,8,"Consider the following statements:\n1. Mughal prince Dara Shikoh declared in hisspiritual studies that the Vedas and theQuran were in conformity.\n2. Dara Shikoh also remained on good termswith Sikh Gurus.\n3. He also got the Bhagwad Gita translated into Persian.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"• Mughal prince Dara Shikoh declared in hisspiritual studies that the Vedas and theQuran were in conformity.\n• Dara Shikoh also remained on good terms with Sikh Gurus.He also got the Bhagwad Gita translated into Persian.",,,
,8,"Consider the following pairs regarding  folk arts with their regions:\n1. Dhokra  : Chhattisgarh\n2. Ajrakh : Rajasthan\n3. Patachitra : Jammu & Kashmir\n4. Phad paintings : Maharashtra\nWhich of the pairs given above is/are correctly matched?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"1. Dhokra (also spelt Dokra) is non–ferrous metal casting using the lost-wax casting technique. DhokraDamar tribes are the traditional metalsmiths of West Bengal and Odisha. \n2. Their technique of lost wax casting is named after their tribe, hence Dhokra metal casting. The tribe extends from Jharkhand to West Bengal and Orissa; members are distant cousins of the Chhattisgarh Dhokras. Ajrakh is a cloth art of Gujarat and Rajasthan",,,
,8,"Consider the following statements:\n1. Sattriya dance has devotional character,inspired by Bhakti movement in Assam.\n2. The Dance is mainly performed by malemonks.\n3. It is based on Shaiva bhakti\nWhich of the statements given above is/are correct?",1 only,3 only,1 and 2 only,2 and 3 only,C,"1. Recognised most recently in 2000. It is devotional in character and involves Bhakti Rasa (spiritual aspect), Evolved by a great Vaishnava saint Shankar dev in 15th century. \n2. Traditionally danceperformed by male monks called Bhokots in monasteries as a part of their daily rituals, calledSattriya as monasteries called Sattras.\n3. This dance isaccompanied by a Musical composition calledBorgeets. This was composed by Shankar Devmusical instruments- khol (drum), and flute",,,
,8,"Consider the following books written by Indian rulers\n1. Mattavilasaprahsana : Tamil\n2. Amuktamalyada : Telegu\n3. Kavirajamarga : Sanskrit\nWhich of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",B,"• MattavilasaPrahasana is a short one-act Sanskrit play.\n• It is one of the two great one act plays written by Pallava King Mahendravarman I (571– 630CE) in the beginning of the seventh century in Tamil Nadu.\n• Kavirajamarga is the earliest available work on rhetoric, poetics and grammar in the Kannada language. \n• It was inspired by or written in part by the famous Rashtrakuta King Amoghavarsha I, and some historians claim it is based partly on an the Sanskrit text Kavyadarsha.",,,
