question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,4,"Consider the following regarding tobacco in mughal period\n1. Important chronicle the Ain  mentioned  tobacco in the lists of crops in northern India.\n2. Jahangir was so concerned about its addiction that he banned it\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 200\nExplanation\nThis plant, which arrived first in the Deccan, spread to northern India in the early years  of the seventeenth century. The Ain does not mention tobacco in the lists of crops in northern India. Akbar and his nobles came across tobacco for the first time in 1604. At this time smoking tobacco (in hookahs or chillums) seems to have caught on in a big way. Jahangir was so concerned about its addiction that he banned it.",,,
,4,"Consider the following statements regarding Women in Agrarian society of Mughal Period \n1. Women were considered an important resource in agrarian society also because they were child bearers in a society dependent on labour\n2. Remarriage was considered legitimate both among divorced and widowed women.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 206& 207\nExplanation\nWomen were considered an important resource in agrarian society also because they were child bearers in a society dependent on labour. At the same time, high mortality rates among women – owing to malnutrition, frequent pregnancies, death during childbirth – often meant a shortage of wives. This led to the emergence of social customs in peasant and artisan communities that were distinct from those prevalent among elite groups. Marriages in many rural communities required the payment of bride-price rather than dowry to the bride’s family. Remarriage was considered legitimate both among divorced and widowed women.",,,
,4,"Consider the following statements regarding Forest Dwellers in Mughal Period\n1. For the state, the forest was a subversive place – a place of refuge (mawas) for troublemakers\n2. Mughal state didn’t collect any form of tribute from forest dwellers.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 208\nExplanation\nFor the state, the forest was a subversive place – a place of refuge (mawas) for troublemakers. External forces entered the forest in different ways. For instance, the state required elephants for the army. So the peshkash levied from forest people often included a supply of elephants",,,
,4,"Consider the following statements regarding Chronicles of Mughal King\n1. The author of the Akbar Nama  is Abu’l Fazl\n2. Abdul Hamid Lahori is known as the author of the Badshah Nama which is about Emperor Shah Jahan\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 231\nExplanation\nBoth statements are true",,,
,4,"Consider the following statements regarding Imperial officials in Mughal Court:\n1. Iranians gained high offices under Jahangir, whose politically influential queen, Nur Jahan  was an Iranian\n2. Aurangzeb didn’t appoint Rajputs to high positions in his court.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 244\nExplanation\nIranians gained high offices under Jahangir, whose politically influential queen, Nur Jahan (d. 1645), was an Iranian. Aurangzeb appointed Rajputs to high positions, and under him the Marathas accounted for a sizeable number within the body of officers",,,
,4,"Consider the following statements:\n1. Sanskrit works on astronomy, mathematics and medicine had been translated into Arabic fifth century onwards\n2. Al-Biruni’s book Rihla deals extensively with the Hindu culture in the region of then Punjab\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 116\nExplanation\nRihla is written by Ibn Battuta,krit works on astronomy, mathematics and medicine had been translated into Arabic from the eighth century onwards. When the Punjab became a part of the Ghaznavid empire, contacts with the local population helped create an environment of mutual trust and understanding. Al-Biruni spent years in the company of Brahmana priests and scholars, learning Sanskrit, and studying religious and philosophical texts. While his itinerary is not clear, it is likely that he travelled widely in the Punjab and parts of northern India.",,,
,4,"Consider the following statements:\n1. He was closely associated with the Mughal court, as a physician to Prince Dara Shukoh\n2. He a Frenchman, was a doctor, political philosopher and historian\n3. He travelled to several parts of the country, and wrote accounts of what he saw, frequently comparing what he saw in India with the situation in Europe\nIn the above statements, He refers to?",Ibn Battuta,Baptiste Tavernier,Marcopolo,Francois Bernier,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 123\nExplanation\nFrançois Bernier, a Frenchman, was a doctor, political philosopher and historian. Like many others, he came to the Mughal Empire in search of opportunities. He was in India for twelve years, from 1656 to 1668, and was closely associated with the Mughal court, as a physician to Prince Dara Shukoh, the eldest son of Emperor Shah Jahan, and later as an intellectual and scientist, with Danishmand Khan, an Armenian noble at the Mughal court.",,,
,4,"Consider the following statements regarding Big Bang theory: \n1. In the beginning, all matter forming the universe existed in one place in the form of a 'tiny ball'\n2. There was particularly rapid expansion within fractions of a second after the bang and then expansion was stopped.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No. 15\nExplanation\nThe Big Bang Theory considers the following stages in the development of the universe.\n       (i) In the beginning, all matter forming the universe existed in one place in the form of a 'tiny ball' (singular atom) with an unimaginably small volume, infinite temperature and infinite density.\n       (ii) At the Big Bang the 'tiny ball' exploded violently. This led to a huge expansion. It is now generally accepted that the event of big bang took place 13.7 billion years before the present. The expansion continues even to the present day. As it grew, some energy was converted into matter. There was particularly rapid expansion within fractions of a second after the bang. Thereafter, the expansion has slowed down. Within first three minutes from the Big Bang event, the first atom began to form.\n       (iii) Within 300,000 years from the Big Bang, temperature dropped to 4,500K (Kelvin) and gave rise to atomic matter. The universe became transparent",,,
,4,"Through which of the following sources, information about the material composition and state of the earth can be obtained?\n1. Gravitational field\n2. Magnetic field\n3. Meteors that reach the earth\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,1, 2 and 3,D,"Class – 11  – Book Name – Fundamentals of Physical \nGeography – Page No. 22\nExplanation\nAnother source of information are the meteors that at times reach the earth\nThe other indirect sources include gravitation, magnetic field, and seismic activity",,,
,4,"Consider the following statements:\n1. Zone between 105° and 145° from epicentre was identified as the shadow zone for S, Secondary waves\n2. The shadow zone of S-waves is not only larger in extent but it is also a little over 40 per cent of the earth surface\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No. 23\nExplanation\nIt was observed that seismographs located at any distance within 105° from the epicentre, recorded the arrival of both P and S-waves. However, the seismographs located beyond 145° from epicentre, record the arrival of P-waves, but not that of S-waves. Thus, a zone between 105° and 145° from epicentre was identified as the shadow zone for both the types of waves. The entire zone beyond 105° does not receive S-waves. The shadow zone of S-wave is much larger than that of the P-waves. The shadow zone of P-waves appears as a band around the earth between 105° and 145° away from the epicentre. The shadow zone of S-waves is not only larger in extent but it is also a little over 40 per cent of the earth surface.",,,
,4,"Earthquakes is most prone to occur in areas where\n1. There are active volcanoes\n2. There are large reservoirs\n3. There are tectonic fault planes\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No. 23 & 24\nExplanation\n1. The most common ones are the tectonic earthquakes. These are generated due to sliding of rocks along a fault plane.\n2. A special class of tectonic earthquake is sometimes recognised as volcanic earthquake. However, these are confined to areas of active volcanoes.3. In the areas of intense mining activity, sometimes the roofs of underground mines collapse causing minor tremors. These are called collapse earthquakes\n4. Ground shaking may also occur due to the explosion of chemical or nuclear devices. Such tremors are called explosion earthquakes.\n5. The earthquakes that occur in the areas of large reservoirs are referred to as reservoir induced earthquakes.",,,
,4,"Which of the following evidences support the theory of continental drift?\n1. Jigsaw fit of shorelines of Africa and South America\n2. Occurrence of gold deposits in Ghana coast but the absence of any sources rocks theren3. Different species in different continents\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.31\nExplanation\nEvidence in Support of the Continental Drift\n• The Matching of continents (jig saw fit)\n• Rocks of Same Age Across the Oceans\n• Tillite\n• Placer Deposits\n• Distribution of fossils",,,
,4,"Which of the following regions of the world is/are NOT seismically active?\n1. Alpin-Himalayan belt\n2. Mid-Atlantic Ridges\n3. Central Africa\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,3 only,D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.32\nExplanation\n    You will notice a line of dots in the central parts of the Atlantic Ocean almost parallel the coastlines. It further extends into the Indian Ocean. It bifurcates a little south of the Indian subcontinent with one branch moving into East Africa and the other meeting a similar line from Myanmar to New Guiana. You will notice that this line of dots coincides with the midoceanic ridges. The shaded belt showing another area of concentration coincides with the Alpine-Himalayan system and the rim of the Pacific Ocean. In general, the foci of the earthquake in the areas of mid-oceanic ridges are at shallow depths whereas along the Alpine-Himalayan belt as well as the rim of the Pacific, the earthquakes are deep-seated ones.The map of volcanoes also shows a similar pattern. The rim of the Pacific is also called rim of fire due to the existence of active volcanoes in this area",,,
,4,"Which of the following evidences support the hypothesis of “sea-floor spreading”?\n1. Rocks on the either side of midoceanic ridges have remarkable similarities.\n2. Earthquake foci at mid-oceanic ridges are shallower than oceanic trenches.\n3. Oceanic crust rocks are younger than continental rock crust.\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.32\nExplanation\nRefer to page no. 32 and 33.",,,
,4,"Consider the following statements regarding types of rocks and their nature:\n1. If molten material is cooled slowly at great depths, mineral grains may be very large.\n2. Sedimentary rocks can be formed organically also.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.42\nExplanation\nIgneous rocks are classified based on texture. Texture depends upon size and arrangement of grains or other physical conditions of the materials. If molten material is cooled slowly at great depths, mineral grains may be very large. Sudden cooling (at the surface) results in small and smooth grains. Intermediate conditions of cooling would result in intermediate sizes of grains making up igneous rocks. Granite, gabbro, pegmatite, basalt, volcanic breccias and tuff are some of the examples of igneous rocks.\nDepending upon the mode of formation, sedimentary rocks are classified into three major groups: \n(i) mechanically formed — sandstone, conglomerate, limestone, shale, loess etc. Are examples; \n(ii) organically formed— geyserite, chalk, limestone, coal etc. are some examples;\n(iii) chemically formed — chert, limestone, halite, potash etc. are some examples.",,,
,4,"Which of the following forces can be said to be responsible in geomorphism (changing forms on earth)?\n1. Radioactivity inside the earth\n2. Tidal friction\n3. Glacial movement\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.46\nExplanation\nThe energy emanating from within the earth is the main force behind endogenic geomorphic processes. This energy is mostly generated by radioactivity, rotational and tidal friction and primordial heat from the origin of the earth. This energy due to geothermal gradients and heat flow from within induces diastrophism and volcanism in the lithosphere. Due to variations in geothermal gradients and heat flow from within, crustal thickness and strength, the action of endogenic forces are not uniform and hence the tectonically controlled original crustal surface is uneven.  Glacial movement is exogenic geomorphic process.",,,
,4,"Which of the following forces affect the process of physical weathering of rocks?\n1. Pore water pressure in the rocks\n2. Temperature changes\n3. Gravitational forces\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.49\nExplanation\nPhysical or mechanical weathering processes depend on some applied forces. The applied forces could be:\n(i) Gravitational forces such as overburden pressure, load and shearing stress;\n(ii) Expansion forces due to temperature changes, crystal growth or animal activity;\n(iii) Water pressures controlled by wetting and drying cycles.\nMany of these forces are applied both at the surface and within different earth materials leading to rock fracture. Most of the physical weathering processes are caused by thermal expansion and pressure release. These processes are small and slow but can cause great damage to the rocks because of continued fatigue the rocks suffer due to repetition of contraction and expansion.",,,
,4,"Which of the following show the differences between alluvial fans and delta?\n1. Fans are formed in the higher reaches of the river unlike Deltas which form at lower reaches.\n2. Fans are made of much coarser load than deltas.\n3. There is no clear stratification of river load while deposition of alluvial fan unlike deltas where there in a clear stratification.\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.61\nExplanation\nAlluvial fans  are formed when streams flowing from higher levels break intofoot slope plains of low gradient. Normally very coarse load is carried by streams flowing over mountain slopes. This load becomes too heavy for the streams to be carried over gentler gradients and gets dumped and spread as a broad low to high cone shaped deposit called alluvial fan.\nDeltas are like alluvial fans but develop at a different location. The load carried by the rivers is dumped and spread into the sea. If this load is not carried away far into the sea or distributed along the coast, it spreads and accumulates as a low cone. Unlike in alluvial fans, the deposits making up deltas are very well sorted with clear stratification. The coarsest materials settle out first and the finer fractions like silts and clays are carried out into the sea.",,,
,4,"In the Northern hemisphere, the isotherms drawn on the map are not parallel to the latitudes at several places (unlike the Southern Hemisphere) because of",Continentality,Presence of warm ocean current in the temperate and sub-polar regions,Higher cloudiness at several places like the sub-polar regions which keeps the polar areas warmer than it should be on higher latitudes.,Both (a) and (b),D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.83\nExplanation\nIn general the effect of the latitude on temperature is well pronounced on the map, as the isotherms are generally parallel to the latitude. The deviation from this general trend is more pronounced in January than in July, especially in the northern hemisphere. In the northern hemisphere the land surface area is much larger than in the southern hemisphere. Hence, the effects of land mass and the ocean currents are well pronounced. In January the isotherms deviate to the north over the ocean and to the south over the continent. This can be seen on the North Atlantic Ocean. The presence of warm ocean currents, Gulf Stream and North Atlantic drift, make the Northern Atlantic Ocean warmer and the isotherms bend towards the north. Over the land the temperature decreases sharply and the isotherms bend towards south in Europe.",,,
,4,"Tropical cyclones are not formed near the equator. Why?",Due to continentality,Due to strong jet stream winds,Due to the absence of Coriolis force,None of the above,C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.83\nExplanation\nIn general the effect of the latitude on temperature is well pronounced on the map, as the isotherms are generally parallel to the latitude. The deviation from this general trend is more pronounced in January than in July, especially in the northern hemisphere. In the northern hemisphere the land surface area is much larger than in the southern hemisphere. Hence, the effects of land mass and the ocean currents are well pronounced. In January the isotherms deviate to the north over the ocean and to the south over the continent. This can be seen on the North Atlantic Ocean. The presence of warm ocean currents, Gulf Stream and North Atlantic drift, make the Northern Atlantic Ocean warmer and the isotherms bend towards the north. Over the land the temperature decreases sharply and the isotherms bend towards south in Europe.",,,
,4,"Consider the following statements:\n1. Continental shelf can be rich source of fossil fuels because of the river sediment load it carries.\n2. Oceanic deeps are important for the study of plate movement as they contain several active volcanoes.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.113&114\nExplanation\nThe continental shelves are covered with variable thicknesses of sediments brought down by rivers, glaciers, wind, from the land and distributed by waves and currents. Massive sedimentary deposits received over a long time by the continental shelves, become the source of fossil fuels\nThese areas are the deepest parts of the oceans. The trenches are relatively steep sided, narrow basins. They are some 3-5 km deeper than the surrounding ocean floor. They occur at the bases of continental slopes and along island arcs and are associated with active volcanoes and strong earthquakes. That is why they are very significant in the study of plate movements",,,
,4,"Which of the following generally increase(s) (and/or then becomes constant) with increasing depth in oceans?\n1. Salinity\n2. Temperature\n3. Density\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.115&114\nExplanation\nSalinity changes with depth, but the way it changes depends upon the location of the sea. Salinity at the surface increases by the loss of water to ice or evaporation, or decreased by the input of fresh waters, such as from the rivers. Salinity at depth is very much fixed, because there is no way that water is lost, or the salt is added. There is a marked difference in the salinity between the surface zones and the deep zones of the oceans. The lower salinity water rests above the higher salinity dense water. Salinity, generally, increases with depth and there is a distinct zone called the halocline, where salinity increases sharply. Other factors being constant, increasing salinity of seawater causes its density to increase. High salinity seawater, generally, sinks below the lower salinity water. This leads to stratification by salinity.",,,
,4,Thunderstorms are formed because of,Intense convection on moist hot days,Meeting of warm and cold fronts,Induction by low-pressure cyclones,None of the above,A,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.96\nExplanation\nThunderstorms are caused by intense convection on moist hot days. A thunderstorm is a well-grown cumulonimbus cloud producing thunder and lightening. When the clouds extend to heights where sub-zero temperature prevails, hails are formed and they come down as hailstorm. If there is insufficient moisture, a thunderstorm can generate duststorms. A thunderstorm is characterised by intense updraft of rising warm air, which causes the clouds to grow bigger and rise to greater height. This causes precipitation",,,
,4,"In addition to pressure gradient, which of the following factors affect the velocity and direction of wind on earth?\n1. Gravitation force\n2. Surface friction of wind with earth\n3. Rotation of earth\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.90\nExplanation\nThe wind blows from high pressure to low pressure. The wind at the surface experiences friction. In addition, rotation of the earth also affects the wind movement. The force exerted by the rotation of the earth is known as the Coriolis force. Thus, the horizontal winds near the earth surface respond to the combined effect of three forces – the pressure gradient force, the frictional force and the Coriolis force. In addition, the gravitational force acts downward.",,,
,4,"What can be the factors behind the existence of 'dry climates' (as per Koeppen classification)?\n1. Subtropical high where subsidence and inversion of temperature do not produce rainfall.\n2. Eastern margin of continents adjoining cold current\n3. Interiority of continents\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.105\nExplanation\nVery low rainfall inadequate for the growth of plants Large areas of the earth extending 15-60* N-S of the equator  At low latitudes they occur in 15-30*N-S areas of subtropical high where subsidence and inversion of temperature do not produce rainfall Also found on the western margin of continents adjoining cold current like the west coast of South AmericaIn middle latitudes 35-60* N-S, they are confined to the interior of the continentswhere moisture laden winds do not reach e.g. Libya",,,
,4,"Tropical cyclones dissipate on reaching the land; extra-tropical cyclones do not because\n1. Tropical cyclones derive their energy from the moisture of the sea\n2. Extra-tropical cyclones derive their energy from polar fronts\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.94&95.\nExplanation\nRefer page no. 94&95 for detailed explanation",,,
,4,"Equator receives comparatively less insolation than the tropics. Why?",Because of more more cloudiness at the equators,Because of the heat transfer by trade winds from equator to tropics,Because of the presence of more vegetation at equators,None of the above,C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.80.\nExplanation\nThe insolation received at the surface varies from about 320 Watt/m2 in the tropics to about 70 Watt/m2 in the poles. Maximum insolation is received over the subtropical deserts, where the cloudiness is the least. Equator receives comparatively less insolation than the tropics. Generally, at the same latitude the insolation is more over the continent than over the oceans. In winter, the middle and higher latitudes receive less radiation than in summer.",,,
,4,"Consider the following statements\n1. Ozone layer is located in mesosphere\n2. In mesosphere temperature starts decreasing with the increase in altitude\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.77.\nExplanation\nThe zone separating the tropsophere from stratosphere is known as the tropopause. The air temperature at the tropopause is about minus 800C over the equator and about minus 45oC over the poles. The temperature here is nearly constant, and hence, it is called the tropopause. The stratosphere is found above the tropopause and extends up to a height of 50 km. One important feature of the stratosphere is that it contains the ozone layer. This layer absorbs ultra-violet radiation and shields life on the earth from intense, harmful form of energy.\n    The mesosphere lies above the stratosphere, which extends up to a height of 80 km. In this layer, once again, temperature starts decreasing with the increase in altitude and reaches up to minus 100°C at the height of 80 km. The upper limit of mesosphere is known as the mesopause.",,,
,4,"Consider the following statements regarding Metamorphism\n1. Metamorphism occurs when rocks are forced down to lower levels by tectonic processes\n2. when molten magma rising through the crust comes in contact with the crustal rocks\n3. underlying rocks are subjected to great amounts of pressure by overlying rocks\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.42\nExplanation\nThe word metamorphic means ‘change of form’. These rocks form under the action of pressure, volume and temperature (PVT) changes. Metamorphism occurs when rocks are forced down to lower levels by tectonic processes or when molten magma rising through the crust comes in contact with the crustal rocks or the underlying rocks are subjected to great amounts of pressure by overlying rocks. Metamorphism is a process by which already consolidated rocks undergo recrystallisation and reorganisation of materials within original rocks",,,
,4,"Consider the following statements regarding troposphere:\n1. Thickness of the troposphere is greatest at the poles\n2. All changes in climate and weather take place in this layer\n3. The temperature in this layer decreases at the rate of 1°C for every 165m of height.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.77\nExplanation\nThe troposphere is the lowermost layer of the atmosphere. Its average height is 13 km and extends roughly to a height of 8 km near the poles and about 18 km at the equator. Thickness of the troposphere is greatest at the equator because heat is transported to great heights by strong convectional currents. This layer contains dust particles and water vapour. All changes in climate and weather take place in this layer. The temperature in this layer decreases at the rate of 1°C for every 165m of height. This is the most important layer for all biological activity.",,,
,4,"Consider the following statements regarding Coriolis Force:\n1. It is zero at the equator and maximum at the poles.\n2. It acts perpendicular to the pressure gradient.\n3. Deflection caused due to coriolis force will be less if the wind velocity increases.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.91\nExplanation\nCoriolis force: The deflection is more when the wind velocity is high. The Coriolis force is directly proportional to the angle of latitude. It is maximum at the poles and is absent at the equator. The Coriolis force acts perpendicular to the pressure gradient force. The pressure gradient force is perpendicular to an isobar. The higher the pressure gradient force, the more is the velocity of the wind and the larger is the deflection in the direction of wind.",,,
,4,"The annual insolation received by the earth in January is slightly more than the amount received in July. However, this variation in the solar output does not have great effect on daily weather changes on the surface of the earth. Which factors explain this?\n1. Distribution of land\n2. Atmospheric circulation\n3. Wind direction\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.79\nExplanation\nDuring its revolution around the sun, the earth is farthest from the sun (152 million km) on 4th July. This position of the earth is called aphelion. On 3rd January, the earth is the nearest to the sun (147 million km). This position is called perihelion. Therefore, the annual insolation received by the earth on 3rd January is slightly more than the amount received on 4th July. However, the effect of this variation in the solar output is masked by other factors like the distribution of land and sea and the atmospheric circulation. Hence, this variation in the solar output does not have great effect on daily weather changes on the surface of the earth",,,
,4,"Arrange the following elements in the earth’s crust in decreasing order of their abundance.\n1. Silicon\n2. Iron\n3. Magnesium\nSelect the correct answer using the codes given below",1 – 2 - 3,1 – 3 - 2,2 – 1 - 3,2 – 3 - 1,A,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.39\nExplanation\nRefer the table in page no. 39.",,,
,4,"Consider the following statements:\n1. The insolation received by earth surface long wave radiation and heats up its surface\n2. Terrestrial radiation is short wave one\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.81.\nExplanation\nThe insolation received by the earth is in short waves forms and heats up its surface. The earth after being heated itself becomes a radiating body and it radiates energy to the atmosphere in long wave form. This energy heats up the atmosphere from below. This process is known as terrestrial radiation",,,
,4,"Which of the followings are cold current?\n1. Labrador\n2. Augulhas\n3. Humbolt\n4. Kuroshio\nSelect the correct answer using the code given below","1, 2 and 3 only",2 and 3 only,1 and 3 only,"1, 2, 3 and 4",C,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.124\nExplanation\nRefer the map in the page no.124",,,
,4,"Consider the following statements:\n1. The North Sea, in spite of its location in higher latitudes, records higher salinity due to more saline water brought by the North Atlantic Drift\n2. The Mediterranean sea records lower salinity due to influx of river water.\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.117.\nExplanation\nThe North Sea, in spite of its location in higher latitudes, records higher salinity due to more saline water brought by the North Atlantic Drift. Baltic Sea records low salinity due to influx of river waters in large quantity. The Mediterranean Sea records higher salinity due to high evaporation. Salinity is, however, very low in Black Sea due to enormous fresh water influx by rivers. See the atlas to find out the rivers joining Black Sea",,,
,4,"The Ideal conditions for the formation of dew\n1. Clear sky and calm air\n2. High relative humidity3. Cold and long winter nights\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11  – Book Name – Fundamentals of Physical Geography – Page No.99\nExplanation\nDew: When the moisture is deposited in the form of water droplets on cooler surfaces of solid objects (rather than nuclei in air above the surface) such as stones, grass blades and plant leaves, it is known as dew. The ideal conditions for its formation are clear sky, calm air, high relative humidity, and cold and long nights. For the formation of dew, it is necessary that the dew point is above the freezing point",,,
,4,"Which of the following would not be a transaction related to the external sector of the economy?\n1. Domestic country sell goods to rest of the world\n2. Domestic country buy goods to rest of the world\n3. Capital from foreign countries\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,3 only,All can be external sector transactions,D,"Class – 12  – Book Name – Introductory Macroeconomics – Page No.6\nExplanation\nThe domestic country may sell goods to the rest of the world. These are called exports.\n The economy may also buy goods from the rest of the world. These are called imports. Besides exports and imports, the rest of the world affects the domestic economy in other ways as well.  Capital from foreign countries may flow into the domestic country, or the domestic country may be exporting capital to foreign countries",,,
,4,"Consider the following statements regarding different kinds of goods produced in an economy:\n1. Consumption goods are not further processed in the value addition chain by producers.\n2. Intermediate goods are the same as capital goods.\n3. Capital goods are able of transformation at the hands of producers.Which of the statements given above is/are correct?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 12  – Book Name – Introductory Macroeconomics – Page No.9\nExplanation\nOf the final goods, we can distinguish between consumption goods and capital goods. Goods like food and clothing, and services like recreation that are consumed when purchased by their ultimate consumers are called consumption goods or consumer goods. (This also includes services which are consumed but for convenience we may refer to them as consumer goods.)\nOf the total production taking place in the economy a large number of products don’t end up in final consumption and are not capital goods either. Such goods may be used by other producers as material inputs. Examples are steel sheets used for making automobiles and copper used for making utensils. These are intermediate goods, mostly used as raw material or inputs for production of other commodities. These are not final goods",,,
,4,"Consider the following statements regarding Depreciation in an economy:\n1. More depreciation will reduce the net investment in the economy.\n2. Depreciation takes natural calamities and sudden destruction of property into account.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12  – Book Name – Introductory Macroeconomics – Page No 11\nExplanation\nA part of the capital goods produced this year goes for replacement of existing capital goods and is not an addition to the stock of capital goods already existing and its value needs to be subtracted from gross investment for arriving at the measure for net investment. This deletion, which is made from the value of gross investment in order to accommodate regular wear and tear of capital, is called depreciation.\nDepreciation does not take into account unexpected or sudden destruction or disuse of capital as can happen with accidents, natural calamities or other such extraneous circumstances.",,,
,4,"Net national product (NNP) excludes\n1. Subsidies\n2. Indirect taxes\n3. Depreciation\nSelect the correct answer using the code given below",1 and 2 only,2 and 3 only,1 and 3 only,3 only,D,"Class – 12  – Book Name – Introductory Macroeconomics – Page No 24\nExplanation\nNNP = GNP – Depreciation\nIt is to be noted that all these variables are evaluated at market prices. Through the expression given above, we get the value of NNP evaluated at market prices. But market price includes indirect taxes. When indirect taxes are imposed on goods and services, their prices go up. Indirect taxes accrue to the government. We have to deduct them from NNP evaluated at market prices in order to calculate that part of NNP which actually accrues to the factors of production.\nSimilarly, there may be subsidies granted by the government on the prices of some commodities (in India petrol is heavily taxed by the government, whereas cooking gas issubsidised). So we need to add subsidies to the NNP evaluated at market prices. The measure that we obtain by doing so is called Net National Product at factor cost or NationalIncome.",,,
