q,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,14,"According to the first paragraph, Locke says",mind depends on the world.,Mind is independent of the world.,mind gets only a few things from the world.,mind does not interact with the world.,a,"Mind is a blank slate. It learns from the world. ","Empiricists, such as Locke, Berkeley, and Hume, argued that human knowledge originates in our sensations. Locke, for instance, was a representative realist about the external world and placed great confidence in the ability of the senses to inform us of the properties that empirical objects really have in themselves. Locke had also argued that the mind is a blank slate, or a tabula rasa,that becomes populated with ideas by its interactions with the world. Experience teaches us everything, including concepts of relationship, identity, causation, and so on. Kant argues that the blank slate model of the mind is insufficient to explain the beliefs about objects that we have; some components of our beliefs must be brought by the mind to experience.\nBerkeley's strict phenomenalism, in contrast to Locke, raised questions about the inference from the character of our sensations to conclusions about the real properties of mind-independent objects. Since the human mind is strictly limited to the senses for its input, Berkeley argued, it has no independent means by which to verify the accuracy of the match between sensations and the properties that objects possess in themselves. In fact, Berkeley rejected the very idea of mind-independent objects on the grounds that a mind is, by its nature, incapable of possessing an idea of such a thing. Hence, in Kant's terms, Berkeley was a material idealist. To the material idealist, knowledge of material objects is ideal or unachievable, not real. For Berkeley, mind-independent material objects are impossible and unknowable. In our sense experience we only have access to our mental representations, not to objects themselves. Berkeley argues that our judgments about objects are really judgments about these mental representations alone, not the substance that gives rise to them. In the Refutation of Material Idealism, Kant argues that material idealism is actually incompatible with a position that Berkeley held, namely that we are capable of making judgments about our experience.\nDavid Hume pursued Berkeley's empirical line of inquiry even further, calling into question even more of our common sense beliefs about the source and support of our sense perceptions. Hume maintains that we cannot provide a priori or a posteriori justifications for a number of our beliefs like, 'Objects and subjects persist identically over time,' or 'Every event must have a cause.' In Hume's hands, it becomes clear that empiricism cannot give us an epistemological justification for the claims about objects, subjects, and causes that we took to be most obvious and certain about the world.\nKant expresses deep dissatisfaction with the idealistic and seemingly skeptical results of the empirical lines of inquiry. In each case, Kant gives a number of arguments to show that Locke's, Berkeley's, and Hume's empiricist positions are untenable because they necessarily presuppose the very claims they set out to disprove. In fact, any coherent account of how we perform even the most rudimentary mental acts of self-awareness and making judgments about objects must presuppose these claims, Kant argues. Hence, while Kant is sympathetic with many parts of empiricism, ultimately it cannot be a satisfactory account of our experience of the world. The Rationalists, principally Descartes, Spinoza, and Leibniz, approached the problems of human knowledge from another angle. They hoped to escape the epistemological confines of the mind by constructing knowledge of the external world, the self, the soul, God, ethics, and science out of the simplest, indubitable ideas possessed innately by the mind. Leibniz in particular, thought that the world was knowable a priori, through an analysis of ideas and derivations done through logic.\nSupersensible knowledge, the Rationalists argued, can be achieved by means of reason. Descartes believed that certain truths, that 'if I am thinking, I exist,' for example, are invulnerable to the most pernicious skepticism. Armed with the knowledge of his own existence, Descartes hoped to build a foundation for all knowledge.\nKant's Refutation of Material Idealism works against Descartes' project as well as Berkeley's. Descartes believed that he could infer the existence of objects in space outside of him based on his awareness of his own existence coupled with an argument that God exists and is not deceiving him about the evidence of his senses. Kant argues in the Refutation chapter that knowledge of external objects cannot be inferential. Rather, the capacity to be aware of one's own existence in Descartes' famous cogito argument already presupposes that existence of objects in space and time outside of me.\nKant had also come to doubt the claims of the Rationalists because of what he called Antinomies, or contradictory, but validly proven pairs of claims that reason is compelled toward. From the basic principles that the Rationalists held, it is possible, Kant argues, to prove conflicting claims like, 'The world has a beginning in time and is limited as regards space,' and 'The world has no beginning, and no limits in space.' (A 426/B 454) Kant claims that antinomies like this one reveal fundamental methodological and metaphysical mistakes in the rationalist project. The contradictory claims could both be proven because they both shared the mistaken metaphysical assumption that we can have knowledge of things as they are in themselves, independent of the conditions of our experience of them.\nThe Antinomies can be resolved, Kant argues, if we understand the proper function and domain of the various faculties that contribute to produce knowledge. We must recognize that we cannot know things as they are in themselves and that our knowledge is subject to the conditions of our experience. The Rationalist project was doomed to failure because it did not take note of the contribution that our faculty of reason makes to our experience of objects. Their a priori analysis of our ideas could inform us about the content of our ideas, but it could not give a coherent demonstration of metaphysical truths about the external world, the self, the soul, God, and so on.",,
,14,"According to the passage, Kant’s philosophy is",Empirical,Ideational,Rational,Phenomenal,a,,,,
,14,"Which of the following best illustrates the idea of Berkley?","A bird watcher cherishes the melodious voice of nightingale.","A poet depicts that raven is a beautiful bird.","A botanist postulates leaves must be only green in color.","An astronaut says that space is limitless.",d,"The human sense makes you perceive that space is limitless from so far as what it has seen. i.e. it has not seen an end to the space. ",,,
,14,"Descartes is of the view","Unless we have the knowledge of objects in the world, we cannot gain any awareness of the self.","Unless we believe that we exist, we cannot understand the existence of other objects.","Unless we believe in God, we cannot understand the existence of the self.","Unless we accept the existence of the universe, we cannot feel the existence of the self.",b,"Descartes believed that certain truths, that 'if I am thinking, I exist,",,,
,14,"According to the passage, the rationalists ideas are",Paradoxical.,Antithetical,Exclusive,Metonymical,a,,,,
,14,"According to the passage, Rationalists claim that","The knowledge of objects is altered by mind.","The world contributes to strengthen one’s rational mind.","Objects exist outside our mind.","The knowledge of objects is the sheer manifestation.",d,"Rationalists claim that mind reflects what it has come across.",,,
,14,"According to the passage, Kant is of the view that","Knowledge is shaped by experience.","Knowledge of objects varies from one another.","The prior knowledge of objects is of no use in understanding them.","Ultimate truth is beyond analyses.",b,"The faculties contribute to our experience are not the same. ",,,
,14,"According to the passage, that priori is a/an",complete knowledge.,partial knowledge,incomplete knowledge.,affective knowledge,b,"Pre-knowledge and post-knowledge are complete knowledge. Priori refers to pre-knowledge. ",,,
,14,"It can be concluded from the passage","that Kant does not agree with Locke and Berkley in the pursuit of proposing a standard method to confirm the origin of humans’ knowledge of the world and objects.","that Kant agrees with Locke but not with Berkley in the pursuit of proposing a standard method to confirm the origin of humans’ knowledge of the world and objects.","that Kant does not agree with Locke but agrees with Berkley in the pursuit of proposing a standard method to confirm the origin of humans’ knowledge of the world and objects.","that Kant agrees with both Locke and Berkley in the pursuit of proposing a standard method to confirm the origin of humans’ knowledge of the world and objects.",a,"Because Locke and Berkley claim that external experiences do not shape the sense. ",,,
,14,"The phrase ‘ coherent’ most nearly means",order,style,logic,synthesis,c,,,,
,14,"Pointing towards a man in the photograph, Archana said, 'He is the son of the only son of my grandmother' How is man related to Archana ?",Cousin,Nephew,Brother,Son,c,"Only son of Archana’s grandfather means Archana’s father & his son is Archana’s brother.",,,
,14,"Soni, who is Dubey’s daughter, says to Preeti, 'Your mohter Shyama is the youngest sister of my father, Dubey’s Father’ third child is Prabhat'/ How is Prabhat related to Preeti ?",Uncle,Father,grandmother,Father in law,a,"Preeti’s mother shyama is youngest sister of Dubey & sister of Prabhat. Therefore  Prabhat Preeti’s  uncle.",,,
,14,"The time in the clock is 12 : 35, then its mirror image will be -",11:35,11:25,10: 25,10: 35,b,"23 : 60 - 12 : 35\n= 11 : 25",,,
,14,"Ravi traveled 4 km straight towards south. He turned left and traveled 6 km straight, then turned right and traveled 4 km straight. How far is he from the starting point ?",8 km,10 km,12 km,18 km,b,"B is the finishing point and is  10  km.  from  the  point  A.  The  aerial distance of A from B is 10 km, calculated as below (AB)2 = (AD)2 + (DB)2 = (8)2 + (6)2 = 64 + 36 = 100\nSo AB = 10 km.",,,"explanationImageCsat775.PNG"
,14,"I am facing South. I turn right and walk 20 m. Then I turn right again and walk 10 m. Then I turn left and walk 10 m and then turning right walk 20 m. Then I turn right again and walk 60 m. In which direction am I from the starting point ?",North,Northwest,East,Northeast,d,"The movements of the person are from A to F, as shown in fig. Clearly, the final position is F which is to    the Northeast of the starting point A.",,,
,14,"Who among the following is seated between E and H ?",F,I,J,None of these,d,"K is seated between E and H.","Directions : Read the following information carefully and answer the questions given below it.\nI. Eight persons, E, F, G, H, I, J, K and L are seated around a square table - two on each side.\nII. There are three lady members and they are not seated nest to each other.\nIII. J is between L and F.\nIV. G is between I and F.\nV. H, a lady member, is second to the left of J.\nVI. L, a male number, is seated opposite of E, a lady member.\nVII. There is lady member between F and I.",,"explanationImageCsat777.PNG"
,14,"How many persons are seated between K and F ?",One,Two,Three,Cannot to determined,c,"Three persons H, L and J are seated between K and F.",,,
,14,"Who among the following are the three lady members ?","E, G and J","E, H and G","G, H and J","Cannot be determined",b,"The three lady members are E, H and G.",,,
,14,"Who among the following is to the immediate left of F ?",G,I,J,None of these,c,"J is to the immediate left of F.",,,
