question_id,test_id,online_test_question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,1,"Which of the following is not implied in the passage? ","Innovations are the future responsibilities of all industries in the world.","The fields required innovations are not easily recognized. ","Ideas can bring in better solutions if they are implemented effectively.","Innovations could make the existing technology more efficient. ","a","The given statement is not implied in the passage and is an irrelevant assumption. ","Nowadays, the term 'innovation' is increasingly used in all science fields. It has been developed into a trendy word that is referred whenever discussions focus on forthcoming developments or future perspectives. Nevertheless, despite its frequent usage, innovation is neither easy to specify and nor to identify. What does innovation truly represents? It is a new idea that when implemented, leads to a more effective process, product, service or technology. Innovation provides better solutions that meet advanced, unaddressed or existing market needs. It can be considered as a breakthrough that provides a different way of thinking, consuming or living. However, the key element of innovation is the precondition noted above: 'when implemented'. Without implementation, 'innovation' turns back to the 'idea' status.",,
,1,"The purpose of the above passage is to","list out the difficulties in implementing innovations on various fields","assert the importance of innovative thinking and solutions.","explain the prerequisites for innovations to be useful and ideal.","discuss the role of science in accelerating innovative practices","c","‘What does innovation truly represent’ is a stem for the answer choice and is the last line ‘implementation’",,,
,1,"The term ‘ sentient machines’ can be defined as ","machines with high end efficiency. ","machines which are equally competent with human beings.","machines which can feel and perceive things.","machines modified with reverse technology. ","c","Sentient means object with feelings.","Examples of artificial intelligence (AI) in pop culture usually involve a pack of intelligent robots hell-bent on overthrowing the human race, or at least a fancy theme park. Sentient machines with general artificial intelligence don't yet exist, and they likely won't exist anytime soon, so we're safe... for now. That's not to make light of AI's potential impact on our future. \nIn a recent survey, more than 72% of Americans expressed worry about a future in which machines perform many human jobs. Additionally, tech billionaire Elon Musk, long an advocate for the regulation of artificial intelligence, recently called AI more dangerous than nukes. Despite these legitimate concerns, we're a long way from living in Westworld. Even so, artificial intelligence is a big part of our daily lives — whether we realize it or not. Every time we open our Facebook newsfeed, do a Google search, get a product recommendation from Amazon or book a trip online, AI powered by machine learning is lurking in the background",,
,1,"According to the passage, the future of AI is ","not as threatening as it is generally perceived. ","expected to create huge impacts on human race.","dependent on the researches in the related fields.","estimated to completely replace human beings in jobs. ","b","Refer to the first line of the second paragraph of the passage. (In a recent survey……) ",,,
,1,"Which of the following is closer in meaning to ‘hell-bent’? ","Fortunate","Determined ","Fluctuating","Decidable ","b","Hell-bent means determineSolution(D) ","b","Hell-bent means determineSolution(D) ",,,
,1,"It can be assumed from the passage that ","artificial intelligence has not caused any big concerns around the world."," AI is indirectly part of our day-to-day life.","AI has a slight of chance of fully emulating human tendencies and characteristics. ","AI will be a destructive technology in a few years. ","c","Sentient machines with general artificial intelligence don't yet exist, and they likely won't exist anytime soon",,,
,1,"Find the incorrect number in the following series\n8, 15, 31, 61, 123, 247, 491","247","491","121","61","a"," 8 × 2 – 1 = 15\n15 × 2 + 1 = 31\n31 × 2 – 1 = 61\n61 × 2 + 1 = 123\n123 × 2 – 1 = 245",,,
,1,"If 'PATTERN' is coded as 'ERNTPAT' then the 'PRIMARY' is coded as","ARYMPRI","PRIMAYRA","YAAMPRI","ARVAMIRT","a","Word: P A T T E R N\nLogic: Divide the word into three letters the middle letter should be constant. The last three letters should be placed first and the first three letters should be placed at the end. The middle letter should be constant.\nAnswer: E R T  T P A T\nAccording to the question\nWord: P R I M A R Y\nAnswer: A R Y M P R I",,,
,1,"If  'EARTH' is written as 34215 and  'VENUS' is written as 73089 what is the code for 'SATURN'?","789012","941820","123456","Cannot determine","b","Comparing both the words EARTH and VENUS\nE is common.\nComparing both the codes of EARTH and VENUS 3 is common so, E=3 \nAccording to the question SATURN \nS=9 from VENUS code \nA=4 from EARTH code \nT=1 from EARTH code \nU=8 from VENUS code\nR=2 from EARTH code\nN=0 from VENUS code\nThe code for SATURN is 941820",,,
,1,"Find the missing term in the figure","15","20","25","40","b","In first figure, 6 × 3 - 4 × 2 = 18 - 8 = 10 \nIn second figure, 9 × 5 - 5 × 3 = 45 - 15 = 30\nIn third figure, 6 × 5 - 2 × 5 = 30 -10 = 20",,"question70.PNG",
,"1","If p = q + r , then it is possible that","p × q -r","p + q - r","p - q - r","p < q < r","d","With the notations given, we have : p = q + r means p >= q =< r. From option (A), p × q - r means p = q > r, this is not true.From option (B), p + q - r means p < q > r. this is not true.From option (C), p - q - r means p > q > r, this is not true.From option (D), p < q < r means p != q != r, this is true.","Directions : following symbols have been used :\n 'X' - stands for equal to.\n'<' - stands for not equal to.\n'-' - stands for greater than.\n'+' - stands for not greater than.\n'>' - stands for less than.\n'=' - stands for not less than.",,
,1,"p > q × r, then it is possible that","p + r + q","p = r - q","p × q + r","p = q – r","a","	With the notations given, we have : \np > q × r means p < q = r\nFrom option (A), p + r + q means p <= r >= q, this is true.\nFrom option (B), p = r - q means p >= r > q, this is not true.\nFrom option (C), p × q + r means p = q < r, this is not true.\nFrom option (D), p = q - r means p >= q > r, this is not true.",,,
,1,"A vagabond runs out of cigarettes. He searches for the stubs, having learnt that 7 stubs can make a new cigarette, good enough to be smoked, he bathers 49 stubs, If has smokes 1 cigarette every three – quarters of an hour, how long will his supply last ?","5.25 hr","6 hr","4.5 hr","3 hr","b","	He has got = 49/7=7 cigarettes. \nThe duration of time he will take to smoke these 7 cigarettes =7×3/4hr = 5.25 hr (i.e. hr and 1 min). Now note that after he has smoked these 7 cigarettes, he will collect 7 more stubs (one from each), form which he will be able to make another cigarette. This will take him another hr 3/4 (45 min) to smoke.  Therefore, total time taken = 6 hr.",,,
,1,"FG : LM :: ? : ?","NO : TU","HI : RS","GH : KL","DE : BA","a","Examine the questions pair ‘FG : LM’. The relationship is that the letters are in alphabetic order and five letters are skipped between terms.","Direction: In each of the following questions, there are two terms to the left of the sign :: which are related in some way. Obtain the same relationship between the term to the right of the sign :: from one of the four alternatives gives under it",,
,1,"MANTEL : NAMLET :: VANITY : ?","NAVYIT","NAVYTI","NAVIYI","AVNTIY","b","Group of three letters is reversed",,,
,1,"AEZ : EIY :: IOX : ?","UYZ","AEX","EIX","OUW","d","Each term has two vowels in the beginning, and the first letter from backward sequence. Hence AE (vowels) Z, EI (vowels) Y etc.",,,
,1,"Which of the following is the most logical inference from the passage?","The digital revolution in the country has improved the quality of education at the tertiary level. ","People are able to easily identify the various institutions offering different specializations across the globe. ","Results will improve if students use digital resources for their studies.", "Youth could overcome the impediments in learning and finding out opportunities with the help of digital platform","d","Refer to first and last lines of the passage","The digital environment in India has empowered the youth to stand up to the world in a more consolidated manner. It leads to faster communication, quicker learning and also links two geographically distant places on a common platform. It acts as a collection of likeminded ideas and then works out on possible solutions and results. At the touch of a button, we can share ideas, consult, collaborate and articulate the thoughts and action. Technology is more than what meets the eye. A student can have a highway of study materials and apply for institutions that have specialized study centres. Technology has enabled equal opportunities; at least in matters of accessibility and it is again to the credit of youth that they have been in the forefront of learning and adaptation of new technological options.",,
,1,"According to the passage, digital technology","provides for equality in admissions","helps one express disagreement while sharing thoughts" ,"provides for comprehensively inclusive education.","helps one choose a better career","c","Technology has enabled equal opportunities; at least in matters of accessibility",,,
,1,"It can be assumed from the passage ","the mindset of farmers will change in the future that they will not be serious about the amount of yield.","the food security of farmers will become a question if they do income based cultivations.","the state of farmers in the country is not boastful.","the Government policies and initiatives have given hope among farmers to gain better incomes in future.","c","Since then, Government of India is striving to double farmers","In the past, the Government’s vision and strategy mainly focused on increasing agricultural production for food security. Of late, policy planners realized the need to raise farmers’ income and also promote farmers’ welfare. As a first step, Government of India rechristened the Ministry of Agriculture as Ministry of Agriculture and Farmers’ Welfare in 2015. Since then, Government of India is striving to double farmers’ income by 2022 through various reforms, policies and initiatives. Accordingly, the new vision aims to reduce agrarian distress and bring parity between income of farmers and those working in non-agricultural professions. Indian agriculture sector, in its revamped version, has now geared-up to realize the dream of New India",,
,1,"The passage focuses on","the issues related to implementing Government policies.","solving the financial distress of farmers.","enhancing the welfare of farmers.","giving subsidies for farmers","b","bring parity between income of farmers a……………\npolicy planners realized the need to raise farmers’ income.. ",,,
